glycan_id,glycan,species,immunogenicity,inferred_origin,link,train,valid,test,smiles
33,ManOP(a1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],0.0,,N,1,0,0,O1C(O)[C@H](NC(C)=O)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@@H](O)[C@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H]4O)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]5OP(=O)(O)O)[C@@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@H]1CO
35,Rha(a1-2)Rha(a1-3)Rha(b1-4)Rha,"['Burkholderia_vietnamiensis', 'Xanthomonas_axonopodis', 'Xanthomonas_citri']",1.0,,,1,0,0,O1C(O)[C@H](O)[C@H](O)[C@@H](O[C@H]2O[C@@H](C)[C@H](O)[C@@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H]2O)[C@@H]1C
46,FucNAc(a1-3)QuiNAcNBut(b1-4)FucNAc,['Plesiomonas_shigelloides'],1.0,,,1,0,0,O1C(O)[C@@H](NC(C)=O)[C@H](O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](O[C@@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]3NC(C)=O)[C@H]2NC(=O)CNOC(=O)CC)[C@@H]1C
77,GalNAc(a1-4)ManNAcA(b1-6)GalNAc,['Azospirillum_brasilense'],1.0,,,1,0,0,O1C(O)[C@H](NC(C)=O)[C@@H](O)[C@@H](O)[C@H]1CO[C@@H]2O[C@H](C(=O)O)[C@@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@@H]2NC(C)=O
78,QuiNAlaAc(b1-4)GalNAcA(a1-4)GalOAc(a1-2)QuiNAlaAc,['Pseudoalteromonas_haloplanktis'],1.0,,,1,0,0,O1C(C(C)=O)[C@H](N[C@@H](C)C(=O)O)[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](C(=O)O)[C@H]([C@H]4(C)O[C@@H](C(C)=O)[C@H](N[C@@H](C)C(=O)O)[C@@H](O)[C@@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H]2OC(C)=O)[C@H]1C
82,Ribf(b1-6)Glc(a1-2)Ribf,['Burkholderia_cepacia'],1.0,,,1,0,0,O1C(O)[C@H](O[C@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1CO
124,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0.0,,N,1,0,0,O1C(O)[C@H](NC(C)=O)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@@]7(C(=O)O)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](N)[C@@H](O)C7NC(C)=O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@H](O[C@@H]6O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]6O)[C@H]5NC(C)=O)[C@@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@H]1CO[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O
129,Gal(b1-3)Gal(b1-3)GalNAc(b1-4)Gal,['Mannheimia_haemolytica'],1.0,,,1,0,0,O1C(O)[C@H](O)[C@@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3O)[C@H]2NC(C)=O)[C@H]1CO
161,Ribf(b1-4)GalNAc(a1-2)Ribf,"['Burkholderia_cenocepacia', 'Burkholderia_cepacia']",1.0,,,1,0,0,O1C(O)[C@H](O[C@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@H](O)[C@H]1CO
163,Gal(b1-3)FucNAc(a1-3)GlcNAc(b1-2)Gal,"['Citrobacter_braakii', 'Escherichia_coli']",1.0,,,1,0,0,O1C(O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@@H](C)[C@@H](O)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@@H]3NC(C)=O)[C@H]2NC(C)=O)[C@@H](O)[C@@H](O)[C@H]1CO
208,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc,['Homo_sapiens'],0.0,,O,1,0,0,O1C(O)[C@H](NC(C)=O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H]2NC(C)=O)[C@@H](O)[C@H]1CO[C@@]2(C(=O)O)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](N)[C@@H](O)C2NC(C)=O
215,Man(a1-6)[Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Actinidia_chinensis', 'Armoracia_rusticana', 'Corylus_avellana', 'Musa_acuminata']",1.0,,N,1,0,0,O1C(O)[C@H](NC(C)=O)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H](O)[C@H](O)[C@@H]3O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]2NC(C)=O)[C@H]1CO
225,QuiNAc(b1-3)6dTalOAc(a1-3)FucNAc(b1-4)QuiNAc,['Pseudomonas_fluorescens'],1.0,,,1,0,0,O1C(O)[C@H](NC(C)=O)[C@@H](O)[C@H](O[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O[C@H]3O[C@H](C)[C@H](O)[C@H](O[C@@H]4O[C@H](C)[C@@H](O)[C@H](O)[C@H]4NC(C)=O)[C@@H]3OC(C)=O)[C@@H]2NC(C)=O)[C@H]1C
