glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref,glytoucan_id,predicted_taxonomy,glycan_type,immunogenicity,disease_association,disease_id,disease_sample,disease_direction,disease_ref,disease_species,tissue_sample,tissue_id,tissue_ref,tissue_species,Composition,readable,smiles
3dLyxHep-ulosaric(a2-3)GalA(a1-3)Glc(b1-4)[D-4dThrHexA4en(a1-3)Glc(b1-6)]Glc(a1-5)[GalA(a1-7)Kdo(a2-4)]Kdo(a2-6)GlcN4P(b1-6)GlcN1P,['Agrobacterium_rubi'],['Agrobacterium'],['Rhizobiaceae'],['Rhizobiales'],['Alphaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],{},True,
3dLyxHep-ulosaric(a2-3)GalA(a1-3)Glc(b1-4)[D-4dThrHexA4en(a1-3)Glc(b1-6)]Glc(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN4P(b1-6)GlcN1P,['Agrobacterium_rubi'],['Agrobacterium'],['Rhizobiaceae'],['Rhizobiales'],['Alphaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],{},True,
4dThrHexNAcA4en(a1-4)GalNAcA(a1-4)GalNAcA(a1-4)GalNAcA3Myr,"['Salmonella_enterica', 'Salmonella_typhi']","['Salmonella', 'Salmonella']","['Enterobacteriaceae', 'Enterobacteriaceae']","['Enterobacterales', 'Enterobacterales']","['Gammaproteobacteria', 'Gammaproteobacteria']","['Proteobacteria', 'Proteobacteria']","['Bacteria', 'Bacteria']","['Bacteria', 'Bacteria']","['https://pubmed.ncbi.nlm.nih.gov/27226298/', 'https://pubmed.ncbi.nlm.nih.gov/27226298/']",,,,,[],[],[],[],[],[],[],[],[],[],{'HexNAc': 4},True,
D-4dEryHexOAcN4en(a1-4)GlcNAcAN(b1-4)GalNAc(a1-4)ManNAcA(b1-3)D-FucNAcN(b1-6)GlcN(a1-4)[GalA6N(a1-6)]Glc(b1-4)[GlcA(a1-2)[GlcN(a1-7)]LDManHepOP(a1-3)]LDManHep(a1-5)Kdo,['Bordetella_hinzii'],['Bordetella'],['Alcaligenaceae'],['Burkholderiales'],['Betaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],{},True,
D-4dThrHexA4en(a1-2)Rha(a1-4)GlcA(a1-2)Rha,['Linum_usitatissimum'],['Linum'],['Linaceae'],['Malpighiales'],['Dicotyledons'],['Angiosperms'],['Plantae'],['Eukarya'],[''],,,,,[],[],[],[],[],[],[],[],[],[],"{'HexA': 2, 'dHex': 2}",True,
D-4dThrHexA4en(a1-2)Rha(a1-4)GlcA6Ac(a1-2)Rha,['Linum_usitatissimum'],['Linum'],['Linaceae'],['Malpighiales'],['Dicotyledons'],['Angiosperms'],['Plantae'],['Eukarya'],[''],,,,,[],[],[],[],[],[],[],[],[],[],"{'HexA': 2, 'dHex': 2, 'Ac': 1}",True,
D-4dThrHexA4en(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)[Glc(b1-4)]LDManHep(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN4P(b1-6)GlcN1P,['Erwinia_amylovora'],['Erwinia'],['Erwiniaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],['https://pubmed.ncbi.nlm.nih.gov/28273861/'],,,,,[],[],[],[],[],[],[],[],[],[],{},True,
D-4dThrHexA4en(a1-7)LDManHep(a1-7)LDManHep(a1-3)[Gal(b1-4)]LDManHep(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN4P(b1-6)GlcN1P,['Plesiomonas_shigelloides'],['Plesiomonas'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],{},True,
D-4dThrHexA4en(a1-7)LDManHep(a1-7)[D-4dThrHexA4en(a1-3)][Glc(b1-2)]LDManHep(a1-3)[Gal(b1-4)]LDManHep(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN4P(b1-6)GlcN1P,['Plesiomonas_shigelloides'],['Plesiomonas'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],{},True,
D-4dThrHexA4en(b1-3)GlcNAc(b1-4)GlcA(b1-3)GlcNAc,['Escherichia_coli'],['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],"{'HexA': 2, 'HexNAc': 2}",True,
D-4dThrHexAN4en(a1-3)L-QuiN(b1-6)Glc(a1-4)GlcN(a1-4)Glc(b1-3)[Glc(a1-7)DDManHep(a1-2)LDManHep(a1-4)]LDManHep(a1-5)KdoOP(a2-6)GlcN4P(b1-6)GlcN1P,['Halomonas_pantelleriensis'],['Halomonas'],['Halomonadaceae'],['Oceanospirillales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],{},True,
