glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref,glytoucan_id,predicted_taxonomy,glycan_type,immunogenicity,disease_association,disease_id,disease_sample,disease_direction,disease_ref,disease_species,tissue_sample,tissue_id,tissue_ref,tissue_species,Composition,readable
Glc(b1-6)GalNAc(a1-6)Gal(a1-4)[Glc(b1-3)]GalNAc(a1-3)D-FucNAcOPEtN(b1-3)[DDManHepOP(a1-7)LDManHep(a1-7)][Glc(b1-2)]LDManHep(a1-3)[Glc(b1-4)]LDManHep(a1-5)Kdo,['Yersinia_enterocolitica'],['Yersinia'],['Yersiniaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,,,[],[],[],[],[],[],[],[],[],[],{},True
Neu5Ac(a2-998)Gal(a1-999)[Fuc(a1-999)]GlcNAc(a1-999)Gal(a1-999)GlcNAc(a1-999)[Fuc(a1-998)[Gal(b1-998)]GlcNAc(a1-999)]Man(a1-999)[Fuc(a1-998)[Gal(b1-998)]GlcNAc(a1-999)[Fuc(a1-998)[Gal(b1-998)]GlcNAc(a1-999)]Man(a1-999)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G95895DI,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Ac': 1, 'Hex': 8, 'dHex': 4, 'HexNAc': 8}",True
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],[''],G14634AH,,N,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 7, 'HexNAc': 5}",True
IdoA2S(a1-4)GlcN2S6S(a1-4)AltA2S(a1-4)GlcN2S6S(a1-4)IdoA2S(a1-4)GlcN2S6S(a1-4)AltA2S(a1-4)GlcN2S6S,[],[],[],[],[],[],[],[],[],G03326CV,Animalia,,,[],[],[],[],[],[],[],[],[],[],{},True
GlcNAc(b1-3)[Gal(b1-4)]GlcNAc(b1-6)Gal(b1-4)Glc-ol,['Bos_indicus'],['Bos'],['Bovidae'],['Artiodactyla'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://www.researchgate.net/publication/317380411_Structure_Elucidation_of_Novel_Oligosaccharide_from_Shyama_Dhenu_Milk_and_their_DFT_Studies_P'],,,free,,[],[],[],[],[],[],['milk'],['UBERON:0001913'],['https://www.researchgate.net/publication/317380411_Structure_Elucidation_of_Novel_Oligosaccharide_from_Shyama_Dhenu_Milk_and_their_DFT_Studies_P'],['Bos_indicus'],"{'HexNAc': 2, 'Hex': 3}",True
GalNAc(a1-999)GalNAc(a1-999)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['HumanInfluenzaA_Virus'],['Alphainfluenzavirus'],['Orthomyxoviridae'],['Articulavirales'],['Insthoviricetes'],['Negarnaviricota'],['Riboviria'],['Virus'],['https://pubs.acs.org/doi/10.1021/acs.analchem.8b05372'],,,N,,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 5, 'Hex': 3, 'dHex': 1}",True
GlcN2Myr3Myr4PPEtN(b1-6)[Ara1P4N(b1-1)]GlcN2Myr3Myr,"['Salmonella_enterica', 'Salmonella_typhimurium']","['Salmonella', 'Salmonella']","['Enterobacteriaceae', 'Enterobacteriaceae']","['Enterobacterales', 'Enterobacterales']","['Gammaproteobacteria', 'Gammaproteobacteria']","['Proteobacteria', 'Proteobacteria']","['Bacteria', 'Bacteria']","['Bacteria', 'Bacteria']","['https://pubmed.ncbi.nlm.nih.gov/27795394/', 'https://pubmed.ncbi.nlm.nih.gov/27795394/']",,,,,[],[],[],[],[],[],[],[],[],[],"{'HexN': 2, 'Pen': 1, 'PEtN': 1}",True
Gal3S6S(b1-4)GlcNAc6S,[],[],[],[],[],[],[],[],[],G30198YO,Excavata,,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 1, 'HexNAc': 1, 'S': 3}",True
Gal(b1-4)[Neu5Ac(a2-6)]GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,['Phoca_vitulina'],['Phoca'],['Phocidae'],['Carnivora'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/12890545/'],,,free,,[],[],[],[],[],[],['milk'],['UBERON:0001913'],['https://pubmed.ncbi.nlm.nih.gov/12890545/'],['Phoca_vitulina'],"{'Hex': 4, 'Neu5Ac': 1, 'HexNAc': 2}",True
Neu5Gc(a2-998)Gal(b1-998)GlcNAc(b1-998)[Gal(b1-998)GlcNAc(b1-998)]Man(a1-998)[Neu5Ac(a2-998)Gal(b1-998)GlcNAc(b1-998)Man(a1-998)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G64490LR,Animalia,N,,[],[],[],[],[],[],[],[],[],[],"{'Neu5Gc': 1, 'Hex': 6, 'HexNAc': 5, 'Neu5Ac': 1}",True
